epoch,f1,loss,lr,val_f1,val_loss
0,0.0,6.748536592371323,0.001,0.0,6.543336677551269
1,0.0,6.41903367323034,0.001,0.0,6.237176322937012
2,0.0,6.094001584894517,0.001,0.0,5.898897171020508
3,0.0,5.742486022500431,0.001,0.0,5.544129276275635
4,0.0,5.388849191104664,0.001,0.0,5.191421127319336
5,0.0,5.030465036280015,0.001,0.0,4.819989585876465
6,0.0,4.648451457304113,0.001,0.0,4.433524894714355
7,0.0,4.261334924136891,0.001,0.0,4.0428619384765625
8,0.0,3.8682936696445243,0.001,0.0,3.648883247375488
9,0.0,3.4748876066768872,0.001,0.0,3.2598998069763185
10,0.0,3.090080836239983,0.001,0.0,2.885878658294678
11,0.0,2.7268832010381363,0.001,0.0,2.534192180633545
12,0.0,2.385921506320729,0.001,0.0,2.2159382820129396
13,0.0,2.0828986350227803,0.001,0.0,1.9438509464263916
14,0.17815126426079694,1.8302539068109849,0.001,2.371428656578064,1.7257442712783813
15,2.4134453717400044,1.6300575606963215,0.001,2.399999976158142,1.558357334136963
16,2.531092447393081,1.473598612056059,0.001,2.399999976158142,1.4285101890563965
17,2.746218571943395,1.3462729846729953,0.001,2.9428570747375487,1.322330117225647
18,3.062184819053201,1.2376986868241253,0.001,2.9714285850524904,1.2325424194335937
19,3.0991596446317784,1.1434502741869759,0.001,2.9142857074737547,1.1546633005142213
